SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,3102 Valley Dr Unit 202-3102,Alexandria,VA,22302,327500,2,1.0,Parkfairfax,930,,1941,7,352,486,Active,,,http://www.redfin.com/VA/Alexandria/3102-Valley-Dr-22302/unit-202-3102/home/143653681,MRIS,AX10209727,N,Y,38.8326349,-77.0797988
MLS Listing,,Condo/Co-op,4500 Four Mile Run Dr #101,Arlington,VA,22204,345000,2,2.0,The Brittany,1448,,2005,7,238,657,Active,,,http://www.redfin.com/VA/Arlington/4500-S-Four-Mile-Run-Dr-22204/unit-101/home/11281758,MRIS,AR10209671,N,Y,38.854497,-77.105913
MLS Listing,,Condo/Co-op,4600 Connecticut Ave NW #904,Washington,DC,20008,324900,1,1.0,Wakefield,704,,1948,8,462,514,Active,,,http://www.redfin.com/DC/Washington/4600-Connecticut-Ave-NW-20008/unit-904/home/9976697,MRIS,DC10209634,N,Y,38.9503741,-77.067869
MLS Listing,,Condo/Co-op,1501 Lincoln Way #304,Mclean,VA,22102,385000,2,2.0,Fountains At Mclean,1050,,1988,8,367,413,Active,April-22-2018 01:00 PM,April-22-2018 04:00 PM,http://www.redfin.com/VA/McLean/1501-Lincoln-Way-22102/unit-304/home/143730693,MRIS,FX10195525,N,Y,38.93164,-77.227895
MLS Listing,,Condo/Co-op,5060 7th Rd S #101,Arlington,VA,22204,199000,1,1.0,Park Spring,811,,1969,8,245,379,Active,,,http://www.redfin.com/VA/Arlington/5060-7th-Rd-S-22204/unit-101/home/11259498,MRIS,AR10209408,N,Y,38.8589631,-77.1170872
MLS Listing,,Condo/Co-op,1021 Arlington Blvd #222,Arlington,VA,22209,145000,1,1.0,River Place East,383,,1955,8,379,244,Active,,,http://www.redfin.com/VA/Arlington/1021-Arlington-Blvd-22209/unit-222/home/45395687,MRIS,AR10209349,N,Y,38.8929957,-77.0689033
MLS Listing,,Condo/Co-op,118 Monroe St #1104,Rockville,MD,20850,183000,1,1.0,Americana Centre,870,,1971,8,210,871,Active,,,http://www.redfin.com/MD/Rockville/118-Monroe-St-20850/unit-1104/home/10521462,MRIS,MC10209146,N,Y,39.0820527,-77.1478423
MLS Listing,,Townhouse,3746 HOLMES Ln,ALEXANDRIA,VA,22302,320000,2,1.0,ALEXANDRIA,930,,1941,8,344,468,Active,April-22-2018 02:00 PM,April-22-2018 04:00 PM,http://www.redfin.com/VA/Alexandria/3746-Holmes-Ln-22302/unit-509-3746/home/11860489,BRIGHT MLS,1000386418,N,Y,38.8413761,-77.0795662
MLS Listing,,Townhouse,3746 Holmes Ln,Alexandria,VA,22302,320000,2,1.0,Parkfairfax,930,,1941,8,344,468,Active,April-22-2018 02:00 PM,April-22-2018 04:00 PM,http://www.redfin.com/VA/Alexandria/3746-Holmes-Ln-22302/unit-3746/home/143283798,MRIS,AX10206168,N,Y,38.8413761,-77.0795662
MLS Listing,,Condo/Co-op,4515 WILLARD Ave Unit 1715S,CHEVY CHASE,MD,20815,280000,1,1.5,CHEVY CHASE,880,,1968,9,318,598,Active,,,http://www.redfin.com/MD/Chevy-Chase/4515-Willard-Ave-20815/unit-1715S/home/145336041,BRIGHT MLS,1000398146,N,Y,38.9624844,-77.0898117
MLS Listing,,Condo/Co-op,4515 Willard Ave Unit 1715S,Chevy Chase,MD,20815,280000,1,1.5,Willoughby Of Ch Ch Codm,880,,1968,9,318,598,Active,,,http://www.redfin.com/MD/Chevy-Chase/4515-Willard-Ave-20815/unit-1715S/home/143385512,MRIS,MC10209112,N,Y,38.9624844,-77.0898117
MLS Listing,,Condo/Co-op,1808 Old Meadow Rd #702,Mclean,VA,22102,294999,1,1.0,Encore Of Mclean,784,,1986,9,376,475,Active,,,http://www.redfin.com/VA/McLean/1808-Old-Meadow-Rd-22102/unit-702/home/9462106,MRIS,FX10209078,N,Y,38.9166662,-77.2163311
MLS Listing,,Condo/Co-op,4515 Willard Ave Unit 812S,Chevy Chase,MD,20815,310000,1,1.0,Willoughby Of Ch Ch Codm,878,,1968,9,353,666,Active,April-22-2018 02:00 PM,April-22-2018 04:00 PM,http://www.redfin.com/MD/Chevy-Chase/4515-Willard-Ave-20815/unit-812S/home/113512273,MRIS,MC10209032,N,Y,38.9624844,-77.0898117
MLS Listing,,Condo/Co-op,118 Monroe St #1004,Rockville,MD,20850,195000,1,1.0,Americana Centre,870,,1971,9,224,871,Active,,,http://www.redfin.com/MD/Rockville/118-Monroe-St-20850/unit-1004/home/10521442,MRIS,MC10209018,N,Y,39.0820527,-77.1478423
MLS Listing,,Condo/Co-op,5225 Pooks Hill Rd Unit 810S,Bethesda,MD,20814,249000,2,1.0,The Promenade Towers,1117,,1973,9,223,2544,Active,April-22-2018 03:00 PM,April-22-2018 05:00 PM,http://www.redfin.com/MD/Bethesda/5225-Pooks-Hill-Rd-20814/unit-810S/home/145351002,MRIS,MC10208719,N,Y,39.0167159,-77.106924
MLS Listing,,Townhouse,3729 Nimitz Rd,Kensington,MD,20895,339900,4,3.5,North Kensington,1428,1685,1981,9,238,75,Active,,,http://www.redfin.com/MD/Kensington/3729-Nimitz-Rd-20895/home/11108497,MRIS,MC10208711,N,Y,39.03567,-77.074675
MLS Listing,,Condo/Co-op,1600 Oak St #1003,Arlington,VA,22209,399500,1,1.0,The Belvedere,750,,1986,9,533,458,Active,,,http://www.redfin.com/VA/Arlington/1600-N-Oak-St-22209/unit-1003/home/11250827,MRIS,AR10208624,N,Y,38.8926124,-77.0734782
